lake,island
Arresø,Seeland
Lough Neagh,Ireland
Loch Ness,Great Britain
Loch Lomond,Great Britain
Koltsevoye Lake,Onekotan
Lake Biwa,Honshu
Lake Kussharo,Hokkaido
Lake Tazawa,Honshu
Lake Pinatubo,Luzon
Lake Taal,Luzon
Taal Crater Lake,Taal Volcano Island
Laguna de Bay,Luzon
Lake Lanao,Mindanao
Lake Toba,Sumatra
Danau Kumbang,Sumatra
Segara Anak,Lombok
Lake Hazen,Ellesmere Island
Nettilling Lake,Baffin Island
Lake Manitou,Manitoulin
Lake Mindemoya,Manitoulin
Fagnano Lake,Tierra del Fuego
Lake Taupo,Te Ika-a-Maui (North Island)
Te Wai ā-moe,Te Ika-a-Maui (North Island)
Lake Wanaka,Te Waka-a-Maui (South Island)
Lake Tengano,Rennell Island
