province,country,othername
Euskadi,E,País Vasco
Catalunya,E,Cataluña
Catalunya,E,Catalonia
Bayern,D,Bavaria
Niedersachsen,D,Lower Saxony
Sachsen,D,Saxonia
Fribourg,CH,Freiburg
Genève,CH,Genf
Neuchâtel,CH,Neuenburg
Ticino,CH,Tessin
Valais,CH,Wallis
Vaud,CH,Waadt
Mahiljou,BY,Mogilev
Cerkaska,UA,Cherkaska
Cernihivska,UA,Chernihivska
Cernivecka,UA,Chernivetska
Chersonska,UA,Khersonska
Zytomyrska,UA,Zhytomyrska
Sankt-Peterburg,R,St. Peterburg
Sankt-Peterburg,R,Sankt Petersburg
Sankt-Peterburg,R,Saint Petersburg
Nizhnii Novgorodskaya,R,Nizhny Novgorodskaya
Penzenskaya,R,Penza
Samarskaya,R,Samara
Saratovskaya,R,Saratov
Permskij,R,Permskiy
Altay,R,Altai
Sakha,R,Jakutiya
Liège,B,Luik
Algarve,P,Faro
Lisboa,P,Lisboa
Santarem,P,Santarém
Afyonkarahisar,TR,Afyon
Yerushalayim,IL,Jerusalem
Al Qunaytirah,SYR,Quneitra
Dayr az Zawr,SYR,Deir ez-Zor
Dimashq,SYR,Damascus
Hamah,SYR,Hama
Hims,SYR,Homs
Al-Baha,SA,Al Bahah
Ash Sharqiyah,SA,Eastern province
Jazan,SA,Jizan
Tabouk,SA,Tabuk
Basrah,IRQ,Basra
Kerbela,IRQ,Karbala
al-Qadisiya,IRQ,Al-Qādisiyyah
Duhouk,IRQ,Dahuk
Arbil,IRQ,Erbil
Kohgiluyeh and Boyer-Ahmad,IR,Kohkiluyeh va Boyer Ahmad
Esfahan,IR,Isfahan
Gilan,IR,Gillan
Hamedan,IR,Hamadan
Kurdestan,IR,Kordestan
Buxoro,UZ,Bukhara
Fargʻona,UZ,Fergana
Samarqand,UZ,Samarkand
Surkhandarya,UZ,Surxondaryo
Toshkent,UZ,Tashkent
Toshkent City,UZ,Tashkent City
Akmola,KZ,Aqmola
Karaganda,KZ,Karagandy
Kostanai,KZ,Kustanay
Kostanai,KZ,Kostanay
Magwe,MYA,Magway
Yangon,MYA,Rangoon
Rakhine,MYA,Arakan
Gumma,J,Gunma
Al-Baḥr al-Aḥmar,SUD,Red Sea
Al-Jazīrah,SUD,Al Gezira
Al-Kharṭūm,SUD,Khartoum
Al-Qaḍārif,SUD,Gadaref
An-Nīl al-Abyaḍ,SUD,White Nile
An-Nīl al-Azraq,SUD,Blue Nile
Ash-Shamālīyah,SUD,Northern
Gharb al-Dārfūr,SUD,West Darfur
Gharb Kurdufān,SUD,West Kordofan
Janūb Dārfūr,SUD,South Darfur
Janūb Kurdufān,SUD,South Kordofan
Nahr an-Nīl,SUD,River Nile
Sannār,SUD,Sennar
Shamāl Dārfūr,SUD,North Darfur
Shamāl Kurdufān,SUD,North Kordofan
Sharq Dārfūr,SUD,East Darfur
Wasaṭ Dārfūr,SUD,Central Darfur
Kongo Central,CGO,Bas-Congo
Afar,ETH,Affar
Gambella,ETH,Gambela
Southern,ETH,YeDebub
"México, Estado de",MEX,Estado de Mexico
"San Andrés, Providencia y Santa Catalina",CO,San Andres y Providencia
Bogotá Distrito Especial,CO,Santa Fe de Bogotá
